index,influence,blend_in,special,leader,authority
947,yes,yes,yes,yes,yes
948,yes,yes,yes,yes,yes
949,no,yes,yes,no,no
950,yes,yes,yes,yes,yes
951,yes,no,no,yes,yes
952,no,yes,no,yes,yes
953,no,yes,yes,yes,yes
954,yes,yes,no,yes,no
955,no,yes,yes,no,yes
956,yes,no,yes,yes,yes
957,yes,no,yes,no,no
958,yes,no,yes,yes,yes
959,no,yes,no,yes,yes
960,yes,no,yes,yes,yes
961,no,yes,no,yes,yes
962,yes,yes,yes,yes,no
963,no,yes,no,yes,no
964,no,yes,no,no,yes
965,yes,yes,yes,yes,no
966,yes,yes,yes,yes,yes
967,no,yes,yes,no,yes
968,yes,no,no,yes,yes
969,no,no,yes,yes,no
970,yes,yes,yes,no,no
971,no,yes,yes,no,no
972,no,yes,yes,no,no
973,yes,yes,no,no,no
974,no,yes,no,no,yes
975,yes,yes,no,yes,yes
976,no,yes,yes,yes,no
977,no,no,yes,no,yes
978,yes,no,yes,yes,yes
979,no,yes,yes,yes,no
980,no,yes,no,no,no
981,no,yes,no,yes,no
982,no,yes,no,no,no
983,no,yes,yes,no,yes
984,no,yes,no,no,no
985,yes,no,no,yes,yes
986,no,yes,no,no,no
987,no,yes,no,no,no
988,yes,yes,no,yes,no
989,yes,no,no,yes,yes
990,yes,no,yes,yes,no
991,no,yes,no,no,yes
992,yes,yes,yes,no,no
993,no,no,no,no,yes
994,yes,no,no,no,no
995,no,yes,no,no,no
996,yes,no,yes,yes,yes
997,no,no,yes,no,no
998,yes,yes,no,no,yes
999,no,yes,yes,no,yes
1000,no,yes,no,no,no
1001,no,yes,no,no,no
1002,yes,yes,no,no,no
1003,no,yes,no,no,no
1004,no,yes,no,no,no
1005,yes,yes,yes,no,no
1006,yes,no,yes,yes,yes
1007,yes,yes,yes,yes,yes
1008,yes,yes,no,yes,no
1009,yes,no,yes,yes,yes
1010,no,yes,no,no,yes
1011,yes,yes,yes,yes,no
1012,yes,yes,no,yes,no
1013,yes,yes,yes,yes,no
1014,yes,no,yes,yes,no
1015,yes,no,yes,yes,yes
1016,no,yes,no,yes,no
1017,no,yes,no,no,no
1018,no,yes,yes,no,no
1019,no,no,no,no,no
1020,no,yes,no,no,no
1021,yes,no,no,no,yes
1022,yes,no,yes,yes,no
1023,yes,yes,no,no,no
1024,yes,yes,no,no,yes
1025,yes,no,yes,no,no
1026,yes,yes,yes,yes,no
1027,no,no,no,yes,no
1028,yes,no,yes,no,no
1029,yes,yes,no,yes,no
1030,yes,yes,no,yes,no
1031,no,no,yes,no,no
1032,yes,no,yes,yes,no
1033,yes,yes,yes,no,yes
1034,no,yes,yes,no,no
1035,no,yes,no,no,yes
1036,no,no,no,yes,yes
1037,no,yes,yes,no,yes
1038,yes,yes,no,no,no
1039,yes,no,no,yes,yes
1040,yes,yes,no,yes,yes
1041,yes,no,yes,yes,yes
1042,yes,yes,yes,yes,yes
1043,no,yes,no,no,no
1044,yes,yes,no,no,no
1045,no,yes,no,no,yes
1046,yes,yes,no,yes,yes
1047,no,yes,no,yes,yes
1048,no,yes,yes,yes,no
1049,yes,yes,no,yes,no
1050,yes,yes,yes,yes,no
1051,yes,no,no,no,yes
1052,no,yes,no,no,no
1053,yes,yes,no,no,yes
1054,yes,no,no,yes,yes
1055,yes,no,yes,no,yes
1056,no,no,no,no,yes
1057,yes,no,yes,yes,yes
1058,yes,yes,no,no,no
1059,yes,no,yes,yes,yes
1060,yes,no,no,no,yes
1061,yes,yes,no,no,no
1062,no,yes,no,no,no
1063,yes,yes,no,no,no
1064,yes,no,yes,yes,yes
1065,yes,yes,yes,yes,yes
1066,no,yes,yes,yes,yes
1067,yes,no,yes,yes,yes
1068,no,yes,no,no,no
1069,yes,yes,yes,yes,yes
1070,yes,yes,no,yes,no
1071,yes,yes,no,yes,yes
1072,yes,yes,yes,no,no
1073,no,yes,yes,no,no
1074,no,yes,no,no,no
1075,yes,yes,no,no,yes
1076,yes,no,yes,yes,no
1077,yes,no,yes,yes,yes
1078,yes,no,yes,yes,yes
1079,no,yes,yes,no,no
1080,yes,yes,no,yes,no
1081,yes,yes,no,yes,no
1082,no,yes,no,no,no
1083,yes,yes,yes,yes,yes
1084,yes,yes,yes,yes,yes
1085,yes,no,yes,yes,yes
1086,yes,no,yes,yes,yes
1087,yes,no,yes,yes,yes
1088,no,no,yes,yes,yes
1089,no,yes,yes,yes,no
1090,no,yes,yes,yes,yes
1091,no,yes,yes,no,yes
1092,yes,yes,yes,yes,no
1093,no,yes,no,no,no
1094,no,yes,yes,no,no
1095,yes,yes,no,no,no
1096,no,yes,no,no,no
1097,yes,no,no,yes,no
1098,no,yes,no,yes,yes
1099,yes,yes,no,no,no
1100,yes,yes,no,yes,no
1101,no,yes,yes,no,yes
1102,no,yes,no,no,no
1103,yes,yes,yes,yes,no
1104,yes,yes,yes,yes,no
1105,yes,no,yes,yes,no
1106,no,no,yes,no,no
1107,yes,yes,yes,yes,yes
1108,yes,no,yes,yes,yes
1109,yes,no,no,yes,yes
1110,yes,yes,yes,yes,no
1111,yes,yes,yes,yes,yes
1112,yes,yes,no,yes,yes
1113,no,yes,no,no,yes
1114,no,yes,yes,no,no
1115,yes,yes,no,yes,no
1116,yes,no,yes,yes,yes
1117,yes,yes,yes,yes,yes
1118,no,yes,yes,no,yes
1119,no,no,yes,yes,yes
1120,yes,yes,no,yes,no
1121,yes,no,yes,yes,yes
1122,yes,yes,no,yes,no
1123,no,no,no,yes,yes
1124,yes,no,yes,yes,yes
1125,yes,yes,no,yes,yes
1126,yes,yes,no,yes,no
1127,yes,no,no,no,no
1128,yes,yes,yes,yes,yes
1129,no,yes,no,no,no
1130,yes,yes,yes,no,no
1131,yes,no,yes,no,no
1132,no,yes,no,no,yes
1133,yes,yes,yes,yes,no
1134,yes,no,no,yes,no
1135,yes,no,no,yes,no
1136,yes,yes,no,yes,no
1137,yes,yes,yes,yes,yes
1138,yes,no,yes,yes,yes
1139,yes,no,no,yes,yes
1140,no,yes,yes,yes,yes
1141,no,no,yes,yes,yes
1142,yes,no,no,yes,no
1143,yes,yes,no,no,yes
1144,yes,no,yes,yes,yes
1145,yes,no,yes,yes,yes
1146,yes,yes,yes,yes,no
1147,no,yes,yes,no,no
1148,no,yes,no,yes,no
1149,no,yes,no,no,no
1150,yes,no,yes,yes,yes
1151,yes,yes,no,yes,no
1152,no,yes,yes,yes,yes
1153,yes,yes,yes,no,no
1154,yes,no,no,yes,yes
1155,no,yes,no,yes,yes
1156,yes,yes,yes,yes,yes
1157,yes,no,no,no,yes
1158,no,no,yes,yes,yes
1159,no,yes,no,no,no
1160,yes,yes,no,yes,no
1161,no,no,yes,yes,yes
1162,no,yes,yes,yes,no
1163,no,yes,no,no,no
1164,no,yes,no,no,no
1165,yes,no,no,no,yes
1166,yes,yes,yes,no,yes
1167,yes,yes,yes,no,no
1168,yes,yes,no,no,no
1169,no,yes,no,no,no
1170,yes,yes,no,yes,no
1171,no,yes,no,yes,no
1172,no,yes,no,no,yes
1173,yes,no,yes,no,yes
1174,yes,yes,no,no,no
1175,no,yes,no,no,no
1176,yes,yes,no,yes,no
1177,no,yes,no,no,yes
1178,yes,yes,no,yes,no
1179,yes,yes,no,no,yes
1180,yes,no,no,no,no
1181,yes,yes,no,yes,no
1182,yes,yes,yes,yes,no
1183,yes,yes,no,no,no
1184,no,yes,yes,yes,no
1185,yes,yes,no,no,yes
1186,yes,no,yes,yes,yes
1187,no,yes,yes,yes,no
1188,yes,yes,no,yes,yes
1189,yes,yes,no,no,yes
1190,yes,yes,yes,yes,no
1191,yes,yes,no,yes,no
1192,yes,no,no,yes,yes
1193,yes,no,yes,yes,yes
1194,yes,yes,no,no,yes
1195,no,yes,yes,yes,yes
1196,no,yes,no,no,no
1197,yes,no,no,yes,yes
1198,yes,yes,no,no,yes
1199,no,yes,yes,yes,yes
1200,yes,yes,yes,yes,yes
1201,yes,no,yes,no,yes
1202,yes,yes,yes,yes,no
1203,yes,no,yes,no,no
1204,no,yes,yes,yes,no
1205,no,yes,no,no,no
1206,yes,no,no,yes,yes
1207,yes,yes,yes,no,yes
1208,no,no,no,no,no
1209,no,yes,yes,yes,yes
1210,yes,yes,no,no,no
1211,no,yes,no,no,yes
1212,yes,yes,no,yes,no
1213,no,no,yes,yes,yes
1214,no,yes,no,no,yes
1215,yes,yes,yes,yes,yes
1216,no,yes,yes,no,yes
1217,yes,yes,yes,yes,yes
1218,no,yes,no,no,no
1219,yes,yes,no,yes,yes
1220,yes,yes,no,yes,yes
1221,no,yes,no,no,no
1222,yes,yes,yes,no,no
1223,no,no,yes,yes,yes
1224,no,yes,no,yes,no
1225,yes,no,yes,yes,yes
1226,yes,yes,yes,yes,no
1227,yes,no,no,no,no
1228,no,yes,yes,no,no
1229,yes,no,yes,yes,yes
1230,yes,yes,yes,yes,no
1231,no,no,no,yes,no
1232,no,yes,no,no,no
1233,yes,yes,no,yes,no
1234,yes,no,yes,no,no
1235,no,yes,no,yes,no
1236,no,yes,no,no,no
1237,no,yes,yes,no,yes
1238,yes,no,no,yes,yes
1239,yes,no,yes,yes,yes
1240,no,no,no,yes,no
1241,yes,yes,yes,yes,yes
1242,yes,no,yes,yes,yes
1243,yes,yes,no,no,no
1244,yes,yes,no,no,no
1245,no,no,yes,no,no
1246,no,no,no,yes,yes
1247,no,no,yes,yes,no
1248,yes,no,yes,yes,yes
1249,yes,no,no,yes,yes
1250,no,yes,no,no,no
1251,yes,no,yes,yes,yes
1252,yes,yes,no,yes,no
1253,yes,yes,yes,no,no
1254,yes,no,no,no,no
1255,yes,yes,yes,yes,no
1256,yes,yes,yes,no,no
1257,yes,yes,no,yes,no
1258,yes,no,no,yes,no
1259,no,no,yes,no,no
1260,yes,yes,no,no,no
1261,no,yes,no,yes,no
1262,yes,no,yes,yes,yes
1263,no,no,no,no,no
1264,yes,no,yes,yes,yes
1265,no,yes,no,yes,yes
1266,yes,no,yes,yes,yes
1267,yes,yes,no,no,no
1268,yes,yes,yes,yes,yes
1269,yes,no,no,yes,no
1270,no,yes,no,no,no
1271,no,yes,no,no,no
1272,yes,no,no,yes,yes
1273,yes,yes,yes,yes,no
1274,yes,no,no,no,yes
1275,yes,yes,no,no,yes
1276,yes,no,yes,yes,yes
1277,yes,yes,no,no,no
1278,yes,yes,yes,no,yes
1279,no,yes,yes,no,no
1280,yes,yes,no,no,yes
1281,no,yes,yes,no,yes
1282,yes,no,no,yes,yes
1283,no,yes,yes,no,yes
1284,yes,yes,yes,yes,no
1285,yes,yes,yes,yes,yes
1286,no,yes,no,yes,yes
1287,no,no,yes,no,yes
1288,yes,yes,yes,yes,no
1289,yes,yes,no,yes,no
1290,no,yes,yes,no,no
1291,yes,yes,yes,yes,no
1292,yes,no,yes,no,no
1293,yes,yes,no,no,no
1294,no,yes,yes,no,yes
1295,yes,no,yes,yes,yes
1296,yes,no,yes,yes,no
1297,yes,yes,no,yes,no
1298,no,no,yes,no,no
1299,no,yes,no,no,no
1300,yes,no,no,yes,yes
1301,yes,yes,no,no,no
1302,yes,no,no,yes,no
1303,yes,no,no,no,no
1304,no,yes,yes,no,no
1305,yes,yes,yes,no,no
1306,yes,yes,no,yes,no
1307,yes,yes,no,no,no
1308,yes,yes,no,no,no
1309,no,yes,yes,yes,yes
1310,yes,yes,no,yes,no
1311,yes,yes,yes,yes,yes
1312,yes,yes,no,yes,no
1313,yes,no,yes,yes,yes
1314,yes,yes,no,yes,no
1315,yes,no,yes,yes,yes
1316,yes,yes,no,yes,no
1317,no,yes,yes,no,yes
1318,no,yes,no,yes,no
1319,no,yes,no,no,no
1320,no,yes,no,yes,no
1321,no,yes,no,yes,no
1322,yes,yes,yes,yes,yes
1323,yes,yes,yes,no,no
1324,no,yes,no,no,yes
1325,yes,no,yes,yes,yes
1326,no,yes,no,no,no
1327,no,yes,no,no,no
1328,yes,no,yes,yes,yes
1329,no,yes,no,no,no
1330,yes,no,no,yes,no
1331,yes,no,yes,yes,yes
1332,no,yes,yes,no,no
1333,yes,yes,no,no,no
1334,yes,yes,no,no,no
1335,yes,yes,yes,no,yes
1336,no,yes,yes,yes,no
1337,yes,yes,no,yes,no
1338,yes,yes,no,no,no
1339,yes,yes,no,yes,no
1340,no,yes,no,no,no
1341,yes,no,yes,yes,yes
1342,yes,yes,yes,no,no
1343,yes,yes,yes,yes,no
1344,yes,yes,no,no,no
1345,no,no,no,no,yes
1346,yes,yes,no,yes,yes
1347,no,no,no,no,no
1348,no,yes,yes,no,yes
1349,no,yes,no,yes,yes
1350,no,yes,yes,no,yes
1351,no,yes,no,no,yes
1352,yes,no,yes,yes,yes
1353,no,yes,no,no,no
1354,no,yes,no,no,yes
1355,no,yes,no,no,no
1356,no,no,yes,no,no
1357,no,yes,yes,yes,yes
1358,no,no,yes,yes,yes
1359,no,yes,yes,no,yes
1360,yes,no,no,no,no
1361,yes,no,yes,yes,no
1362,yes,no,yes,yes,yes
1363,yes,yes,no,yes,yes
1364,yes,no,yes,yes,yes
1365,yes,yes,no,no,no
1366,no,yes,no,no,yes
1367,no,yes,no,no,no
1368,yes,no,yes,yes,yes
1369,yes,yes,yes,yes,yes
1370,yes,no,yes,yes,yes
1371,yes,yes,yes,yes,yes
1372,yes,no,yes,yes,yes
1373,no,yes,no,no,no
1374,no,yes,no,no,yes
1375,yes,no,yes,no,yes
1376,yes,yes,yes,no,no
1377,no,yes,no,no,yes
1378,yes,yes,no,yes,yes
1379,no,no,yes,yes,no
1380,yes,no,yes,yes,yes
1381,no,yes,no,no,no
1382,no,yes,no,no,no
1383,yes,yes,no,yes,yes
1384,yes,yes,yes,no,yes
1385,yes,no,no,no,no
1386,no,no,yes,no,no
1387,yes,yes,yes,yes,no
1388,yes,yes,no,no,yes
1389,no,yes,no,no,no
1390,yes,no,yes,yes,yes
1391,yes,no,yes,no,yes
1392,yes,yes,no,no,no
1393,yes,no,yes,yes,yes
1394,yes,no,yes,yes,yes
1395,yes,yes,yes,yes,no
1396,no,yes,yes,no,no
1397,yes,yes,no,yes,yes
1398,yes,yes,yes,no,yes
1399,yes,yes,no,yes,no
1400,no,no,no,yes,yes
1401,yes,yes,yes,yes,yes
1402,yes,yes,yes,yes,no
1403,no,yes,no,no,yes
1404,yes,no,yes,yes,yes
1405,yes,yes,yes,yes,yes
1406,no,yes,yes,no,no
1407,yes,no,no,yes,yes
1408,yes,yes,no,no,no
1409,yes,no,yes,yes,yes
1410,no,yes,no,no,no
1411,no,no,yes,no,no
1412,no,yes,no,no,no
1413,yes,no,yes,no,no
1414,yes,yes,yes,no,no
1415,no,yes,yes,no,no
1416,no,no,yes,yes,no
1417,no,yes,yes,no,no
1418,yes,no,yes,yes,yes
1419,yes,no,yes,no,no
1420,no,yes,no,yes,no
1421,yes,yes,yes,yes,yes
1422,yes,yes,no,yes,yes
1423,no,yes,no,no,no
1424,yes,yes,yes,yes,yes
1425,yes,no,no,yes,yes
1426,yes,no,yes,yes,yes
1427,yes,no,no,no,no
1428,yes,yes,no,no,no
1429,no,yes,yes,yes,yes
1430,no,yes,no,yes,yes
1431,yes,yes,no,yes,no
1432,no,yes,no,no,no
1433,yes,yes,yes,no,yes
1434,no,yes,no,no,no
1435,no,yes,no,no,no
1436,yes,yes,no,yes,yes
1437,no,yes,yes,no,yes
1438,no,no,yes,no,no
1439,yes,no,yes,yes,yes
1440,yes,yes,no,yes,yes
1441,no,yes,no,no,no
1442,yes,no,yes,yes,no
1443,no,yes,no,no,no
1444,no,yes,no,yes,yes
1445,no,yes,no,no,no
1446,yes,no,yes,yes,no
1447,yes,no,yes,yes,no
1448,yes,no,yes,yes,no
1449,yes,no,yes,yes,yes
1450,yes,no,yes,no,no
1451,yes,no,yes,yes,no
1452,no,yes,no,no,yes
1453,yes,yes,yes,yes,no
1454,yes,no,yes,no,yes
1455,no,yes,yes,no,no
1456,yes,yes,yes,yes,yes
1457,yes,no,yes,no,no
1458,yes,no,no,yes,no
1459,yes,no,no,yes,no
1460,no,yes,yes,no,no
1461,no,yes,yes,no,no
1462,no,yes,yes,no,no
1463,yes,no,yes,yes,yes
1464,yes,yes,no,no,yes
1465,yes,yes,no,no,no
1466,yes,no,yes,yes,yes
1467,yes,no,yes,yes,yes
1468,yes,no,no,yes,no
1469,yes,no,yes,yes,yes
1470,yes,no,yes,yes,no
1471,no,yes,no,no,no
1472,no,yes,yes,no,no
1473,yes,yes,no,no,no
1474,no,yes,no,no,no
1475,yes,no,yes,yes,yes
1476,no,yes,no,yes,no
1477,no,yes,no,no,no
1478,yes,no,no,yes,yes
1479,yes,yes,no,yes,yes
1480,no,yes,no,no,no
1481,yes,no,no,yes,yes
1482,yes,no,yes,yes,yes
1483,no,yes,no,no,no
1484,no,yes,no,no,no
1485,no,yes,no,no,no
1486,yes,yes,no,yes,yes
1487,no,yes,yes,yes,no
1488,yes,no,no,no,yes
1489,no,no,yes,yes,no
1490,yes,yes,no,yes,no
1491,yes,no,no,yes,yes
1492,yes,yes,yes,no,yes
1493,no,yes,no,no,no
1494,yes,yes,no,yes,yes
1495,yes,no,yes,yes,yes
1496,yes,no,yes,yes,yes
1497,no,yes,no,no,no
1498,no,yes,no,no,no
1499,yes,no,yes,no,no
1500,yes,no,yes,yes,yes
1501,no,yes,yes,no,yes
1502,yes,yes,no,no,no
1503,no,yes,yes,no,no
1504,yes,yes,no,yes,yes
1505,yes,no,no,no,no
1506,no,yes,yes,no,no
1507,yes,yes,no,yes,no
1508,yes,yes,yes,yes,yes
1509,yes,yes,yes,no,yes
1510,yes,yes,yes,no,yes
1511,yes,yes,yes,yes,yes
1512,no,yes,no,no,yes
1513,yes,yes,yes,yes,yes
1514,yes,no,yes,no,no
1515,yes,yes,no,no,no
1516,yes,no,yes,yes,yes
1517,no,yes,no,no,no
1518,no,yes,yes,yes,yes
1519,yes,yes,yes,yes,yes
1520,no,yes,no,no,yes
1521,yes,no,yes,yes,yes
1522,yes,no,yes,yes,yes
1523,yes,no,yes,yes,yes
1524,no,yes,no,no,no
1525,no,yes,no,yes,no
1526,yes,yes,no,no,yes
1527,yes,no,yes,yes,yes
1528,no,yes,no,no,no
1529,yes,yes,no,yes,yes
1530,yes,no,no,yes,no
1531,yes,yes,yes,no,yes
1532,no,yes,yes,no,yes
1533,yes,yes,yes,yes,yes
1534,yes,no,yes,yes,yes
1535,yes,no,no,yes,yes
1536,no,yes,no,yes,no
1537,yes,yes,no,no,no
1538,no,yes,no,no,no
1539,no,yes,no,yes,no
1540,yes,no,yes,yes,no
1541,yes,yes,yes,yes,no
1542,yes,no,no,yes,yes
1543,no,yes,no,yes,no
1544,no,yes,no,yes,yes
1545,yes,yes,no,yes,yes
1546,no,no,no,no,yes
1547,no,yes,yes,yes,yes
1548,no,yes,yes,no,no
1549,no,no,no,yes,yes
1550,yes,yes,yes,yes,yes
1551,no,yes,no,no,no
1552,yes,yes,yes,yes,yes
1553,no,no,yes,yes,yes
1554,yes,yes,no,no,yes
1555,yes,no,yes,no,no
1556,yes,no,no,no,no
1557,yes,yes,no,yes,yes
1558,yes,no,yes,yes,yes
1559,no,yes,no,yes,yes
1560,no,yes,no,no,no
1561,no,yes,yes,yes,no
1562,yes,yes,yes,yes,no
1563,yes,yes,yes,yes,yes
1564,no,yes,yes,no,no
1565,yes,yes,no,no,yes
1566,yes,yes,no,yes,no
1567,yes,yes,no,no,no
1568,yes,yes,yes,yes,yes
1569,yes,yes,no,no,yes
1570,yes,no,yes,yes,yes
1571,yes,yes,yes,no,yes
1572,yes,yes,no,yes,no
1573,no,yes,no,yes,yes
1574,yes,yes,no,no,yes
1575,yes,yes,yes,no,yes
1576,yes,yes,yes,yes,yes
1577,yes,yes,no,no,no
1578,no,yes,no,no,no
1579,yes,yes,no,yes,no
1580,yes,yes,yes,yes,yes
1581,no,yes,no,yes,no
1582,yes,no,yes,yes,no
1583,no,no,yes,no,no
1584,no,yes,no,no,no
1585,yes,no,yes,yes,yes
1586,yes,yes,no,yes,yes
1587,yes,no,yes,yes,no
1588,yes,yes,no,yes,no
1589,yes,no,yes,yes,yes
1590,yes,no,no,yes,no
1591,no,no,yes,no,yes
1592,no,yes,no,no,no
1593,no,yes,no,no,no
1594,yes,yes,yes,no,no
1595,yes,no,yes,yes,yes
1596,yes,yes,no,no,no
1597,no,no,yes,yes,yes
1598,no,yes,yes,no,no
1599,yes,yes,yes,yes,yes
1600,yes,yes,no,no,no
1601,yes,no,no,yes,yes
1602,yes,yes,no,yes,yes
1603,yes,yes,no,yes,yes
1604,yes,no,yes,yes,no
1605,yes,yes,no,yes,no
1606,no,no,yes,no,yes
1607,no,yes,yes,no,no
1608,no,yes,no,no,no
1609,yes,yes,yes,yes,no
1610,yes,yes,yes,no,yes
1611,yes,no,no,yes,no
1612,yes,yes,no,yes,yes
1613,no,yes,no,no,yes
1614,yes,yes,yes,yes,no
1615,no,yes,no,no,no
1616,no,yes,yes,no,yes
1617,yes,yes,no,yes,no
1618,yes,no,yes,yes,yes
1619,no,yes,no,no,no
1620,no,yes,no,no,no
1621,no,yes,no,no,no
1622,no,no,yes,yes,no
1623,yes,yes,yes,no,no
1624,yes,yes,yes,yes,yes
1625,yes,yes,yes,no,no
1626,no,no,yes,no,no
1627,yes,yes,no,no,no
1628,no,yes,no,no,no
1629,no,yes,yes,no,no
1630,yes,yes,no,no,no
1631,no,yes,no,yes,no
1632,yes,yes,no,yes,no
1633,yes,yes,no,yes,no
1634,no,yes,no,yes,yes
1635,no,yes,yes,no,no
1636,yes,yes,no,no,no
1637,no,yes,yes,yes,yes
1638,yes,yes,no,yes,no
1639,yes,no,yes,yes,yes
1640,yes,yes,no,no,no
1641,no,yes,no,no,no
1642,yes,yes,no,no,no
1643,yes,yes,yes,no,no
1644,no,no,no,no,yes
1645,yes,yes,yes,yes,no
1646,no,yes,no,no,no
1647,yes,yes,no,yes,yes
1648,no,yes,no,no,no
1649,no,yes,yes,no,yes
1650,yes,yes,yes,yes,no
1651,no,yes,yes,no,yes
1652,yes,yes,no,yes,no
1653,yes,yes,no,no,yes
1654,yes,yes,no,yes,no
1655,yes,no,no,no,yes
1656,yes,no,yes,yes,no
1657,yes,yes,yes,no,no
1658,no,yes,no,no,no
1659,yes,yes,no,yes,no
1660,yes,no,no,yes,yes
1661,yes,no,yes,yes,yes
1662,yes,yes,yes,yes,yes
1663,no,yes,yes,yes,no
1664,no,yes,no,no,no
1665,no,yes,no,no,no
1666,yes,yes,no,yes,yes
1667,no,yes,no,no,no
1668,yes,yes,no,yes,yes
1669,no,yes,no,yes,no
1670,yes,no,no,yes,yes
1671,yes,yes,yes,yes,no
1672,no,yes,no,yes,no
1673,no,no,yes,no,no
1674,yes,no,no,no,no
1675,no,yes,no,no,yes
1676,yes,no,no,yes,yes
1677,yes,yes,no,no,no
1678,no,no,no,no,yes
1679,yes,no,yes,yes,yes
1680,no,yes,yes,yes,yes
1681,yes,yes,no,yes,yes
1682,yes,yes,yes,yes,yes
1683,no,yes,yes,yes,no
1684,no,yes,no,no,no
1685,yes,yes,yes,yes,yes
1686,no,yes,no,no,yes
1687,yes,yes,no,yes,no
1688,no,yes,no,no,no
1689,no,yes,no,no,yes
1690,yes,yes,no,no,no
1691,yes,yes,no,yes,yes
1692,yes,no,yes,yes,yes
1693,no,yes,no,no,no
1694,yes,no,no,yes,yes
1695,yes,yes,yes,yes,yes
1696,no,yes,no,yes,no
1697,yes,yes,yes,no,yes
1698,no,yes,no,no,yes
1699,yes,yes,no,no,no
1700,no,no,yes,yes,yes
1701,no,yes,yes,no,yes
1702,yes,no,no,yes,no
1703,yes,yes,no,yes,yes
1704,no,yes,yes,no,yes
1705,yes,no,no,yes,no
1706,yes,yes,yes,yes,no
1707,no,yes,no,yes,yes
1708,yes,yes,no,yes,yes
1709,yes,yes,yes,no,no
1710,no,yes,no,no,no
1711,yes,no,yes,yes,yes
1712,yes,yes,no,yes,no
1713,yes,yes,yes,no,yes
1714,yes,yes,yes,yes,no
1715,yes,yes,yes,yes,yes
1716,no,yes,yes,no,no
1717,no,yes,no,no,no
1718,yes,yes,yes,yes,yes
1719,yes,no,no,no,yes
1720,no,no,no,yes,no
1721,no,yes,yes,yes,yes
1722,no,yes,no,no,no
1723,no,no,yes,yes,yes
1724,yes,yes,no,no,no
1725,yes,yes,yes,yes,no
1726,no,yes,yes,no,no
1727,yes,yes,no,yes,no
1728,yes,no,yes,yes,yes
1729,no,yes,no,no,no
1730,yes,yes,no,yes,no
1731,no,yes,yes,no,no
1732,no,no,yes,yes,yes
1733,yes,yes,yes,no,yes
1734,yes,no,yes,yes,no
1735,yes,no,yes,yes,no
1736,yes,yes,yes,yes,yes
1737,yes,yes,yes,no,no
1738,yes,yes,no,yes,no
1739,no,yes,no,yes,yes
1740,no,no,yes,no,no
1741,yes,no,yes,yes,yes
1742,yes,yes,yes,yes,yes
1743,yes,yes,yes,yes,yes
1744,yes,yes,yes,yes,yes
1745,yes,yes,no,no,no
1746,yes,no,no,yes,no
1747,no,no,yes,no,yes
1748,yes,no,yes,yes,yes
1749,yes,yes,yes,no,yes
1750,no,yes,no,no,no
1751,yes,no,no,yes,no
1752,yes,yes,yes,no,no
1753,no,yes,no,no,no
1754,no,yes,no,no,no
1755,no,yes,no,no,no
1756,no,yes,no,no,no
1757,yes,no,no,yes,no
1758,yes,no,no,yes,yes
1759,yes,no,yes,yes,no
1760,no,yes,no,no,yes
1761,yes,no,yes,no,yes
1762,yes,yes,yes,yes,yes
1763,yes,yes,yes,no,yes
1764,yes,yes,no,yes,no
1765,no,no,no,no,yes
1766,yes,no,no,yes,yes
1767,no,yes,yes,no,no
1768,yes,yes,yes,no,no
1769,yes,yes,no,no,no
1770,yes,yes,yes,yes,yes
1771,yes,no,yes,yes,yes
1772,no,yes,no,no,no
1773,yes,no,yes,no,no
1774,yes,no,no,no,yes
1775,yes,yes,no,yes,yes
1776,no,yes,no,no,yes
1777,no,yes,yes,yes,no
1778,yes,no,yes,no,no
1779,yes,no,yes,yes,yes
1780,yes,no,yes,yes,yes
1781,no,no,no,no,no
1782,no,yes,no,no,no
1783,yes,yes,no,no,yes
1784,no,no,yes,no,yes
1785,yes,yes,yes,yes,no
1786,yes,yes,no,no,no
1787,yes,yes,yes,yes,no
1788,yes,yes,yes,yes,no
1789,yes,no,yes,yes,yes
1790,yes,yes,no,yes,no
1791,no,yes,no,no,no
1792,no,yes,yes,no,no
1793,no,yes,no,no,no
1794,no,yes,no,no,no
1795,no,yes,no,no,no
1796,yes,yes,no,yes,no
1797,no,yes,no,no,no
1798,yes,no,yes,no,yes
1799,no,yes,yes,yes,yes
1800,yes,yes,no,yes,yes
1801,yes,yes,no,yes,no
1802,yes,yes,no,yes,no
1803,yes,yes,no,no,no
1804,no,yes,no,no,no
1805,yes,no,yes,yes,yes
1806,no,yes,no,no,no
1807,yes,yes,no,no,no
1808,yes,no,no,yes,yes
1809,yes,yes,no,no,yes
1810,yes,no,yes,yes,yes
1811,no,yes,no,yes,yes
1812,no,yes,no,yes,yes
1813,no,yes,no,no,yes
1814,yes,yes,no,no,no
1815,yes,yes,no,yes,yes
1816,yes,no,no,yes,yes
1817,no,yes,no,yes,yes
1818,yes,yes,yes,yes,yes
1819,yes,yes,no,no,no
1820,yes,yes,no,no,yes
1821,yes,yes,no,yes,no
1822,yes,yes,no,yes,yes
1823,yes,no,yes,yes,yes
1824,yes,yes,no,yes,no
1825,yes,yes,no,yes,no
1826,yes,no,no,yes,yes
1827,no,yes,no,yes,yes
1828,yes,no,yes,yes,yes
1829,no,yes,no,no,yes
1830,yes,yes,no,yes,no
1831,yes,yes,yes,yes,yes
1832,no,no,no,no,no
1833,yes,no,no,yes,no
1834,yes,no,yes,yes,yes
1835,no,yes,no,no,no
